return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount
900085,201375,5031.0,2025-02-15,Changed Mind,1,59374.12
900086,201377,5171.0,2025-06-17,Size/Fit Issue,1,52643.32
900087,201388,5064.0,2025-11-01,Damaged,2,750.12
900088,201397,5121.0,2025-11-17,Changed Mind,1,44770.06
900089,201414,5061.0,2025-09-03,Damaged,2,27114.94
900090,201422,5133.0,2025-05-09,Damaged,2,41441.71
900091,201443,5189.0,2025-10-04,Damaged,1,2851.35
900092,201453,5020.0,2026-01-11,Changed Mind,1,41986.94
900093,201461,5008.0,2025-07-16,Late Delivery,2,71511.86
900094,201466,5070.0,2025-07-19,Quality Issue,1,25926.95
900095,201468,5158.0,2025-03-05,Changed Mind,1,34538.21
900096,201469,5001.0,2025-12-29,Damaged,1,6061.06
900097,201477,5209.0,2025-11-25,Size/Fit Issue,2,29307.02
900098,201482,5224.0,2025-12-09,Size/Fit Issue,1,31061.58
900099,201495,5032.0,2025-09-03,Damaged,2,49501.71
900100,201517,5047.0,2026-01-08,Damaged,2,
900101,201524,5016.0,2025-11-20,Damaged,1,36681.19
900102,201528,5142.0,2025-02-03,Quality Issue,1,29719.12
900103,201562,5174.0,2025-05-27,Late Delivery,2,31495.25
900104,201566,5147.0,2025-10-24,Size/Fit Issue,1,41166.3
900105,201583,5112.0,2025-02-18,Quality Issue,2,19429.95
900106,201605,5076.0,2025-08-21,Quality Issue,1,35896.91
900107,201623,5113.0,2025-01-18,Quality Issue,2,65422.16
900108,201624,5082.0,2025-01-04,Size/Fit Issue,1,37124.55
900109,201640,5054.0,2025-11-16,Damaged,2,3953.8
900110,201645,5213.0,2025-12-28,Size/Fit Issue,1,28220.24
900111,201654,5007.0,2025-03-24,Changed Mind,2,84715.51
900112,201678,5134.0,2025-03-24,Wrong Item,2,41428.02
900113,201718,5181.0,2025-08-17,Quality Issue,1,34128.06
900114,201720,5156.0,2025-02-08,Changed Mind,2,53841.38
900115,201754,5189.0,2025-12-17,Wrong Item,1,3009.76
900116,201757,5051.0,2025-04-21,Wrong Item,2,5515.2
900117,201769,5085.0,2025-11-21,Damaged,2,15885.89
900118,201787,5186.0,2025-01-10,Quality Issue,1,18555.62
900119,201829,5056.0,2025-02-27,Changed Mind,2,7579.73
900120,201839,5193.0,2025-03-09,Quality Issue,2,36270.33
900121,201845,5052.0,2025-10-15,Damaged,1,30193.61
900122,201847,5209.0,2025-11-01,Damaged,1,36633.77
900123,201853,5192.0,2025-03-18,Changed Mind,2,31688.76
900124,201884,5213.0,2025-03-22,Quality Issue,2,33200.28
900125,201886,5178.0,2025-02-21,Quality Issue,1,19091.84
900126,201897,5153.0,2025-06-16,Quality Issue,1,49370.52
900127,201918,5149.0,2025-10-12,Quality Issue,1,61982.16
900128,201919,5122.0,2025-02-19,Changed Mind,2,24684.73
900129,201940,5054.0,2025-08-15,Size/Fit Issue,1,3514.49
900130,201982,5062.0,2025-04-09,Damaged,2,526.01
900131,202007,5065.0,2025-08-22,Damaged,1,40262.19
900132,202014,5220.0,2026-01-11,Size/Fit Issue,1,18672.36
900133,202022,5013.0,2025-07-25,Quality Issue,1,39930.8
900134,202023,5239.0,2025-04-10,Quality Issue,1,37673.05
900135,202040,5070.0,2025-08-31,Damaged,2,28977.18
900136,202046,5219.0,2025-04-29,Quality Issue,1,12710.87
900137,202061,5012.0,2025-01-25,Damaged,2,8939.7
900138,202076,5218.0,2026-01-04,Size/Fit Issue,2,50141.85
900139,202077,5051.0,2025-11-08,Damaged,2,4687.92
900140,202083,5162.0,2025-02-09,Quality Issue,2,13399.92
900141,202096,5116.0,2026-01-06,Quality Issue,1,26306.2
900142,202105,5067.0,2025-07-09,Size/Fit Issue,2,5997.55
900143,202123,5056.0,2025-06-16,Late Delivery,2,9474.66
900144,202126,5033.0,2025-08-21,Damaged,2,32498.86
900145,202141,5023.0,2025-09-03,Wrong Item,1,54168.33
900146,202154,5044.0,2025-11-27,Damaged,1,11483.18
900147,202161,5083.0,2025-08-22,Changed Mind,1,56318.34
900148,202163,5234.0,2025-02-20,Wrong Item,1,43051.11
900149,202177,5018.0,2025-05-19,Late Delivery,2,0.0
900150,202181,5134.0,2025-11-21,Quality Issue,2,43864.96
900151,202187,5045.0,2025-03-01,Wrong Item,2,52356.26
900152,202200,5126.0,2025-11-11,Damaged,2,60128.87
900153,202208,5010.0,2025-03-14,Wrong Item,2,96720.46
900154,202224,5019.0,2025-04-27,Late Delivery,1,51172.31
900155,202236,5059.0,2025-11-25,Wrong Item,2,120149.7
900156,202242,5195.0,2025-03-18,Wrong Item,1,46935.22
900157,202256,5145.0,2025-02-06,Damaged,2,48053.06
900158,202266,5009.0,2025-01-31,Wrong Item,1,25199.62
900159,202274,5098.0,2025-03-01,Size/Fit Issue,2,47741.26
900160,202295,5159.0,2025-10-15,Quality Issue,1,18164.79
900161,202316,5132.0,2025-09-19,Damaged,2,16685.14
900162,202321,5082.0,2025-10-08,Changed Mind,1,46405.69
900163,202323,5176.0,2025-12-10,Quality Issue,2,13653.02
900164,202328,5117.0,2025-05-03,Wrong Item,1,18535.38
900165,202336,5053.0,2025-04-23,Late Delivery,1,10893.77
900166,202358,5110.0,2025-04-06,Wrong Item,2,103050.5
900167,202360,5175.0,2025-05-13,Wrong Item,2,35929.89
900168,202363,5009.0,2025-05-25,Changed Mind,2,18568.14
900169,202372,5186.0,2025-02-10,Quality Issue,1,18555.62
900170,202379,5026.0,2025-10-31,Size/Fit Issue,1,69952.64
900171,202386,5028.0,2025-04-22,Damaged,1,15586.31
900172,202415,5077.0,2025-01-29,Size/Fit Issue,2,24796.74
900173,202451,5246.0,2025-06-23,Quality Issue,1,49131.17
900174,202471,5012.0,2025-10-24,Quality Issue,2,10517.29
900175,202494,5149.0,2025-03-16,Late Delivery,2,117077.42
900176,202541,5062.0,2025-11-13,Changed Mind,1,300.58
900177,202543,5166.0,2025-10-19,Damaged,2,94777.06
900178,202551,5108.0,2025-04-30,Quality Issue,2,57105.86
900179,202570,5024.0,2025-08-26,Quality Issue,2,106474.71
900180,202577,5219.0,2025-06-16,Damaged,1,12710.87
900181,202593,5045.0,2025-05-29,Late Delivery,1,49276.48
900182,202626,5243.0,2025-07-17,Late Delivery,2,42790.17
900183,202630,5085.0,2026-01-04,Changed Mind,1,16820.35
900184,202631,5043.0,2025-11-04,Changed Mind,2,34705.96
900185,202637,5128.0,2025-03-09,Size/Fit Issue,1,59103.1
900186,202643,5149.0,2025-04-18,Wrong Item,1,61982.16
900187,202664,5142.0,2025-12-22,Quality Issue,1,42455.88
900188,202680,5197.0,2026-01-19,Changed Mind,2,56098.26
900189,202701,5063.0,2025-04-20,Changed Mind,2,12223.1
900190,202730,5016.0,2025-11-26,Quality Issue,1,34847.13
900191,202732,5076.0,2025-04-26,Quality Issue,2,42231.66
900192,202740,5010.0,2025-05-26,Size/Fit Issue,1,51382.75
900193,202745,5167.0,2026-01-22,Quality Issue,2,4017.81
900194,202750,5023.0,2025-05-13,Size/Fit Issue,1,57019.3
900195,202765,5169.0,2025-04-24,Size/Fit Issue,1,15997.34
900196,202789,5136.0,2025-03-04,Changed Mind,2,100283.03
900197,202807,5007.0,2025-07-03,Quality Issue,1,37651.34
900198,202824,5099.0,2025-11-17,Damaged,2,24134.72
900199,202845,5194.0,2025-11-14,Damaged,1,23915.3
900200,202846,5037.0,2025-10-22,Damaged,1,12008.68
900201,202851,5037.0,2025-05-20,Size/Fit Issue,2,28255.72
900202,202877,5054.0,2025-09-19,Late Delivery,1,4393.11
900203,202905,5036.0,2025-06-25,Changed Mind,1,30335.9
900204,202912,5173.0,2026-01-09,Wrong Item,2,126729.64
900205,202927,5029.0,2025-07-10,Damaged,2,122848.51
900206,202932,5008.0,2025-09-05,Quality Issue,1,30392.54
900207,202983,5136.0,2025-05-19,Quality Issue,1,36946.38
900208,202990,5113.0,2025-09-26,Damaged,2,61978.89
900209,202992,5103.0,2025-01-13,Wrong Item,2,65458.19
900210,203005,5175.0,2025-11-07,Changed Mind,2,17019.42
900211,203011,5235.0,2025-05-06,Changed Mind,1,38645.45
900212,203022,5043.0,2025-08-16,Quality Issue,1,34705.96
900213,203037,5128.0,2025-10-06,Size/Fit Issue,1,59103.1
900214,203040,5101.0,2025-02-03,Damaged,1,28567.52
900215,203044,5011.0,2025-03-02,Damaged,1,56612.09
900216,203052,5191.0,2025-11-10,Size/Fit Issue,1,28565.45
900217,203060,5098.0,2025-03-20,Quality Issue,1,50549.57
900218,203081,5007.0,2025-08-31,Late Delivery,2,32944.92
900219,203091,5059.0,2025-05-16,Changed Mind,2,51063.62
900220,203107,5190.0,2025-08-15,Quality Issue,1,36005.03
900221,203119,5196.0,2025-03-04,Quality Issue,1,21224.04
900222,203145,5196.0,2025-03-05,Late Delivery,1,20162.84
900223,203166,5055.0,2025-12-04,Wrong Item,1,44964.92
900224,203171,5196.0,2025-03-23,Damaged,2,20162.84
900225,203178,5134.0,2026-01-05,Damaged,1,43864.96
900226,203180,5170.0,2025-02-03,Quality Issue,1,47445.49
900227,203226,5242.0,2025-05-27,Late Delivery,1,33494.95
900228,203250,5036.0,2025-02-28,Damaged,2,32021.23
900229,203292,5097.0,2025-06-06,Damaged,1,40295.93
900230,203296,5076.0,2025-06-12,Wrong Item,2,84463.32
900231,203344,5014.0,2025-10-07,Quality Issue,2,6635.47
900232,203355,5072.0,2025-11-07,Size/Fit Issue,1,48183.37
900233,203397,5095.0,2025-03-20,Wrong Item,2,27786.82
900234,203402,5215.0,2025-05-21,Changed Mind,2,32322.68
900235,203412,5085.0,2025-08-09,Size/Fit Issue,1,17754.82
900236,203422,5171.0,2025-11-26,Changed Mind,2,73700.65
900237,203429,5171.0,2025-03-14,Damaged,1,50011.15
900238,203439,5161.0,2025-09-12,Size/Fit Issue,1,63686.08
900239,203481,5128.0,2025-12-07,Wrong Item,1,66490.98
900240,203491,5120.0,2025-11-23,Damaged,2,87819.19
900241,203501,5123.0,2025-03-28,Wrong Item,2,43855.11
900242,203521,5246.0,2025-05-09,Changed Mind,2,55272.56
900243,203533,5073.0,2025-03-30,Damaged,2,18918.59
900244,203543,5087.0,2025-02-06,Quality Issue,2,12285.54
900245,203550,5194.0,2025-03-21,Late Delivery,2,45439.07
900246,203555,5217.0,2025-03-03,Late Delivery,1,8615.51
900247,203574,5152.0,2026-01-01,Changed Mind,1,39798.26
900248,203625,5098.0,2025-10-14,Quality Issue,1,39316.33
900249,203673,5246.0,2025-12-19,Size/Fit Issue,1,61413.96
900250,203695,5082.0,2025-10-03,Quality Issue,2,83530.24
900251,203736,5075.0,2025-02-15,Changed Mind,1,21747.31
900252,203762,5129.0,2025-03-14,Damaged,2,904.89
900253,203767,5022.0,2025-07-27,Size/Fit Issue,1,53244.52
900254,203779,5186.0,2025-10-13,Quality Issue,2,18555.62
900255,203805,5231.0,2025-03-17,Wrong Item,2,38431.27
900256,203808,5150.0,2025-01-13,Late Delivery,2,41947.17
900257,203816,5071.0,2025-11-27,Late Delivery,2,905.54
900258,203823,5054.0,2025-11-01,Damaged,2,3953.8
900259,203825,5182.0,2025-08-18,Late Delivery,2,39954.31
900260,203849,5233.0,2025-06-08,Quality Issue,2,48435.53
900261,203850,5068.0,2025-02-07,Damaged,1,3208.18
900262,203873,5166.0,2025-09-14,Damaged,1,41464.96
900263,203879,5051.0,2025-07-13,Size/Fit Issue,1,4412.16
900264,203892,5032.0,2025-10-09,Quality Issue,1,70716.73
900265,203893,5060.0,2025-03-20,Damaged,2,67651.54
900266,203896,5233.0,2025-01-17,Wrong Item,1,51284.68
900267,203913,5196.0,2025-10-12,Damaged,2,19101.64
900268,203924,5219.0,2025-08-20,Damaged,2,29053.41
900269,203934,5039.0,2025-03-27,Changed Mind,2,90067.79
900270,203938,5157.0,2025-06-24,Size/Fit Issue,1,41234.29
900271,203948,5001.0,2025-06-24,Quality Issue,2,6417.59
900272,203957,5053.0,2025-03-11,Size/Fit Issue,1,9804.39
900273,203970,5169.0,2025-06-30,Wrong Item,1,15155.38
900274,203972,5018.0,2025-11-27,Damaged,1,28753.38
900275,203974,5078.0,2025-09-25,Quality Issue,2,32909.2
900276,203977,5211.0,2025-06-30,Size/Fit Issue,2,39915.21
900277,203998,5174.0,2025-08-30,Changed Mind,2,26522.31
900278,204001,5094.0,2025-02-20,Quality Issue,1,45107.82
900279,204025,5193.0,2025-10-18,Changed Mind,1,40300.37
900280,204033,5247.0,2025-09-25,Damaged,2,30728.39
900281,204044,5102.0,2025-11-17,Quality Issue,1,26465.48
900282,204064,5216.0,2025-08-19,Size/Fit Issue,1,4004.43
900283,204069,5192.0,2025-12-02,Wrong Item,1,35416.86
900284,204083,5234.0,2025-06-04,Damaged,2,48115.94
900285,204122,5019.0,2026-01-17,Late Delivery,2,96958.06
900286,204124,5243.0,2025-12-29,Changed Mind,1,47824.31
900287,204131,5126.0,2025-03-17,Late Delivery,1,54115.98
900288,204133,5180.0,2025-06-21,Damaged,2,56074.46
900289,204143,5077.0,2025-03-21,Size/Fit Issue,2,11778.45
900290,204148,5007.0,2025-11-20,Late Delivery,2,42357.75
900291,204163,5145.0,2025-07-13,Late Delivery,2,101164.34
900292,204164,5156.0,2025-03-23,Changed Mind,2,113350.28
900293,204179,5087.0,2025-11-23,Quality Issue,1,7226.79
900294,204184,5222.0,2025-05-17,Wrong Item,2,63943.15
900295,204192,5155.0,2025-11-17,Quality Issue,1,1135.12
900296,204218,5215.0,2025-03-30,Changed Mind,1,27474.28
900297,204241,5196.0,2025-06-25,Size/Fit Issue,1,20162.84
900298,204276,5134.0,2025-01-28,Wrong Item,1,46301.91
900299,204277,5187.0,2025-05-29,Size/Fit Issue,2,52482.24
900300,204279,5158.0,2025-06-03,Quality Issue,1,34538.21
900301,204291,5093.0,2025-11-21,Changed Mind,2,12622.7
900302,204307,5082.0,2025-10-23,Late Delivery,2,44085.41
900303,204309,5239.0,2025-08-17,Late Delivery,2,83717.88
900304,204316,5074.0,2025-05-20,Damaged,2,53308.22
900305,204319,5129.0,2025-12-07,Changed Mind,1,633.42
900306,204325,5146.0,2025-08-27,Damaged,2,23331.0
900307,204334,5036.0,2025-08-19,Damaged,1,30335.9
900308,204401,5045.0,2025-05-04,Changed Mind,1,52356.26
900309,204410,5101.0,2025-06-04,Wrong Item,1,30247.97
900310,204415,5194.0,2025-04-24,Quality Issue,1,21523.77
900311,204425,5231.0,2025-01-25,Damaged,2,76862.54
900312,204444,5138.0,2025-04-04,Size/Fit Issue,2,100096.42
900313,204473,5009.0,2025-02-20,Damaged,2,21220.74
900314,204486,5154.0,2025-12-23,Size/Fit Issue,2,40723.49
900315,204497,5206.0,2025-11-18,Damaged,2,49697.66
900316,204498,5080.0,2025-03-27,Wrong Item,1,52513.0
900317,204528,5018.0,2025-07-28,Size/Fit Issue,2,51117.12
900318,204541,5215.0,2025-09-25,Quality Issue,1,29090.41
900319,204584,5239.0,2025-11-16,Size/Fit Issue,1,37673.05
900320,204593,5174.0,2025-09-30,Size/Fit Issue,2,28179.96
900321,204610,5215.0,2025-01-28,Late Delivery,1,29090.41
900322,204618,5079.0,2025-04-30,Wrong Item,1,5515.88
900323,204643,5113.0,2025-03-28,Damaged,1,48205.8
900324,204645,5127.0,2025-03-14,Wrong Item,1,26316.7
900325,204648,5132.0,2025-06-30,Damaged,1,16685.14
900326,204706,5157.0,2025-11-25,Quality Issue,1,41234.29
900327,204729,5130.0,2025-02-18,Quality Issue,2,49364.28
900328,204732,5205.0,2025-01-20,Damaged,1,20440.67
900329,204775,5174.0,2025-07-27,Quality Issue,2,31495.25
900330,204776,5011.0,2025-10-29,Size/Fit Issue,2,44031.62
900331,204783,5191.0,2026-01-05,Wrong Item,1,28565.45
900332,204797,5155.0,2025-09-12,Size/Fit Issue,2,1072.05
900333,204800,5174.0,2025-04-04,Changed Mind,1,31495.25
900334,204812,5183.0,2025-04-28,Changed Mind,1,16564.36
900335,204829,5021.0,2025-07-08,Wrong Item,1,54413.68
900336,204845,5220.0,2025-08-18,Changed Mind,1,19770.73
900337,204863,5111.0,2025-05-24,Changed Mind,2,133427.75
900338,204864,5186.0,2025-06-02,Damaged,2,33400.12
900339,204878,5103.0,2025-07-27,Damaged,1,58567.86
900340,204882,5056.0,2025-01-24,Quality Issue,2,3789.86
900341,204898,5045.0,2025-04-27,Quality Issue,1,52356.26
900342,204902,5229.0,2025-12-16,Damaged,1,59757.03
900343,204914,5050.0,2025-03-12,Quality Issue,1,47913.98
900344,204926,5120.0,2025-11-07,Changed Mind,1,48788.44
900345,204931,5072.0,2025-05-19,Damaged,2,48183.37
900346,204937,5032.0,2025-11-14,Size/Fit Issue,2,67180.89
900347,204952,5122.0,2025-06-24,Size/Fit Issue,1,11616.34
900348,204965,5010.0,2025-12-27,Wrong Item,1,60450.29
900349,204992,5148.0,2025-06-26,Damaged,2,12760.92
900350,205022,5073.0,2025-08-14,Late Delivery,1,16080.8
900351,205045,5030.0,2025-04-18,Changed Mind,2,28792.75
900352,205046,5001.0,2025-04-06,Quality Issue,2,12122.12
900353,205075,5137.0,2025-03-06,Wrong Item,1,13069.65
900354,205090,5067.0,2025-03-12,Late Delivery,2,6330.74
900355,205103,5177.0,2025-05-19,Quality Issue,2,8379.59
900356,205127,5205.0,2025-01-29,Wrong Item,2,20440.67
900357,205162,5052.0,2025-10-12,Damaged,2,51329.14
900358,205165,5105.0,2025-03-02,Changed Mind,2,72995.81
900359,205166,5039.0,2025-06-18,Damaged,2,95071.55
900360,205193,5083.0,2025-05-01,Size/Fit Issue,2,66878.02
900361,205195,5070.0,2025-04-15,Late Delivery,1,27452.07
900362,205196,5190.0,2025-03-28,Changed Mind,1,40240.92
900363,205214,5088.0,2025-09-15,Late Delivery,2,20139.04
900364,205233,5144.0,2025-04-21,Damaged,2,17624.84
900365,205287,5046.0,2025-08-09,Size/Fit Issue,2,62464.63
900366,205308,5184.0,2025-06-08,Late Delivery,1,39169.08
900367,205309,5053.0,2025-01-28,Quality Issue,1,10893.77
900368,205317,5208.0,2025-09-02,Wrong Item,2,45342.16
900369,205331,5094.0,2025-03-04,Quality Issue,2,45107.82
900370,205333,5118.0,2026-01-06,Damaged,1,46399.93
900371,205341,5193.0,2025-11-26,Damaged,2,56420.52
900372,205358,5070.0,2025-05-13,Quality Issue,1,30502.3
900373,205372,5055.0,2025-02-11,Size/Fit Issue,1,52899.91
900374,205384,5125.0,2025-11-26,Size/Fit Issue,2,6213.43
900375,205425,5085.0,2025-02-11,Size/Fit Issue,1,17754.82
900376,205451,5132.0,2025-02-01,Changed Mind,1,17612.09
900377,205458,5096.0,2025-08-15,Wrong Item,1,31409.26
900378,205467,5086.0,2025-10-13,Damaged,2,46102.61
900379,205486,5137.0,2025-10-16,Size/Fit Issue,1,10455.72
900380,205491,5213.0,2025-06-25,Size/Fit Issue,2,26560.22
900381,205504,5133.0,2025-06-09,Late Delivery,1,33153.37
900382,205523,5171.0,2025-06-21,Damaged,1,50011.15
900383,205528,5131.0,2025-06-11,Changed Mind,2,16600.55
900384,205537,5180.0,2025-10-06,Late Delivery,2,106541.47
900385,205559,5123.0,2025-08-26,Wrong Item,1,30698.58
900386,205562,5107.0,2025-08-13,Damaged,2,29520.85
900387,205577,5077.0,2025-06-07,Damaged,1,11158.53
900388,205581,5001.0,2025-09-10,Late Delivery,2,7130.66
900389,205604,5143.0,2025-06-27,Wrong Item,2,45491.51
900390,205613,5182.0,2025-02-18,Changed Mind,1,39954.31
900391,205617,5238.0,2025-03-05,Damaged,1,19560.6
900392,205628,5152.0,2025-08-07,Damaged,2,35818.43
900393,205659,5136.0,2025-07-11,Size/Fit Issue,1,47502.49
900394,205670,5231.0,2025-03-27,Quality Issue,1,34588.14
900395,205675,5190.0,2025-03-15,Wrong Item,2,33887.09
900396,205677,5210.0,2025-09-18,Changed Mind,2,60545.29
900397,205721,5167.0,2025-11-30,Size/Fit Issue,2,4490.49
900398,205734,5106.0,2025-02-21,Wrong Item,2,46275.11
900399,205771,5048.0,2025-05-06,Late Delivery,2,51202.71
900400,205776,5179.0,2025-05-27,Quality Issue,2,9351.31
900401,205782,5176.0,2025-09-01,Size/Fit Issue,1,12215.86
900402,205789,5067.0,2025-09-30,Damaged,2,11328.7
900403,205806,5223.0,2025-03-13,Wrong Item,1,
900404,205814,5063.0,2025-02-27,Damaged,1,12942.11
900405,205834,5051.0,2025-12-09,Damaged,1,4412.16
900406,205836,5163.0,2025-02-26,Wrong Item,1,44004.46
900407,205844,5201.0,2025-05-11,Size/Fit Issue,2,46161.04
900408,205851,5099.0,2025-01-05,Quality Issue,1,24134.72
900409,205852,5101.0,2025-09-01,Damaged,2,28567.52
900410,205853,5007.0,2025-03-18,Late Delivery,1,42357.75
900411,205857,5230.0,2025-06-15,Damaged,1,22521.75
900412,205878,5223.0,2025-07-13,Size/Fit Issue,1,15891.41
900413,205885,5075.0,2025-05-21,Quality Issue,1,27960.82
900414,205946,5083.0,2025-08-14,Wrong Item,1,63358.13
900415,205973,5078.0,2025-03-23,Quality Issue,2,69282.52
900416,205982,5201.0,2025-06-11,Wrong Item,1,41544.94
900417,206013,5186.0,2025-12-03,Changed Mind,2,15772.28
900418,206026,5135.0,2025-03-03,Size/Fit Issue,2,42617.87
900419,206033,5025.0,2025-10-01,Changed Mind,1,5501.11
900420,206051,5044.0,2025-07-14,Size/Fit Issue,2,21690.45
900421,206088,5059.0,2025-10-19,Size/Fit Issue,1,57071.11
900422,206103,5089.0,2025-01-23,Late Delivery,2,51732.55
900423,206132,5206.0,2025-09-17,Changed Mind,2,99395.31
900424,206158,5197.0,2025-08-31,Wrong Item,2,50488.43
900425,206173,5028.0,2025-06-15,Quality Issue,1,16503.16
900426,206178,5137.0,2025-02-15,Quality Issue,2,23525.37
900427,206182,5086.0,2025-07-05,Size/Fit Issue,2,24264.53
900428,206184,5043.0,2025-05-25,Late Delivery,2,62470.73
900429,206197,5088.0,2025-06-25,Quality Issue,1,21198.99
900430,206273,5150.0,2025-08-24,Quality Issue,2,35655.09
900431,206281,5017.0,2025-04-12,Late Delivery,2,35595.64
900432,206296,5062.0,2025-12-19,Damaged,1,319.36
900433,206297,5158.0,2025-02-07,Size/Fit Issue,2,41939.26
900434,206300,5216.0,2025-07-24,Size/Fit Issue,1,4239.98
